Análisis léxico de: algoritmo1_Paulette_Maldonado.rb
==================================================
Línea 2: DEF                  def
Línea 24: DOS_PUNTOS           :
Línea 24: ID                   stock
Línea 24: LLAVE_DER            }
Línea 25: ID                   inventario
Línea 25: MENOR_QUE            <
Línea 25: MENOR_QUE            <
Línea 25: ID                   producto
Línea 26: PUTS                 puts
Línea 26: CADENA_INTERPOLADA   Producto añadido: #{producto[:nombre]}
Línea 27: RESCUE               rescue
Línea 27: ASIGNACION_HASH      =>
Línea 27: ID                   e
Línea 28: PUTS                 puts
Línea 28: CADENA_INTERPOLADA   Error: #{e.message}
Línea 29: END                  end
Línea 31: WHEN                 when
Línea 31: ENTERO               2
Línea 32: PUTS                 puts
Línea 32: CADENA               Buscar por nombre:
Línea 33: ID                   busqueda
Línea 33: ASIGNACION           =
Línea 33: GETS                 gets
Línea 33: PUNTO                .
Línea 33: ID                   strip
Línea 33: PUNTO                .
Línea 33: ID                   downcase
Línea 34: ID                   resultados
Línea 34: ASIGNACION           =
Línea 34: ID                   inventario
Línea 34: PUNTO                .
Línea 34: ID                   select
Línea 34: LLAVE_IZQ            {
Línea 34: PIPE                 |
Línea 34: ID                   p
Línea 34: PIPE                 |
Línea 34: ID                   p
Línea 34: CORCHETE_IZQ         [
Línea 34: SIMBOLO              :nombre
Línea 34: CORCHETE_DER         ]
Línea 34: PUNTO                .
Línea 34: ID                   downcase
Línea 34: PUNTO                .
Línea 34: CONSULTA_INCLUDE     include?
Línea 34: PARENTESIS_IZQ       (
Línea 34: ID                   busqueda
Línea 34: PARENTESIS_DER       )
Línea 34: LLAVE_DER            }
Línea 36: IF                   if
Línea 36: ID                   resultados
Línea 36: PUNTO                .
Línea 36: CONSULTA_VACIA       empty?
Línea 37: PUTS                 puts
Línea 37: CADENA               No se encontraron productos.
Línea 38: ELSE                 else
Línea 39: ID                   resultados
Línea 39: PUNTO                .
Línea 39: EACH                 each
Línea 39: LLAVE_IZQ            {
Línea 39: PIPE                 |
Línea 39: ID                   p
Línea 39: PIPE                 |
Línea 39: PUTS                 puts
Línea 39: CADENA_INTERPOLADA   #{p[:nombre]} | $#{p[:precio]} | Stock: #{p[:stock]}
Línea 39: LLAVE_DER            }
Línea 40: END                  end
Línea 42: WHEN                 when
Línea 42: ENTERO               3
Línea 43: PUTS                 puts
Línea 43: CADENA               Eliminar por nombre:
Línea 44: ID                   nombre
Línea 44: ASIGNACION           =
Línea 44: GETS                 gets
Línea 44: PUNTO                .
Línea 44: ID                   strip
Línea 45: ID                   inventario
Línea 45: PUNTO                .
Línea 45: ID                   reject
Línea 45: NOT_LOGICO           !
Línea 45: LLAVE_IZQ            {
Línea 45: PIPE                 |
Línea 45: ID                   p
Línea 45: PIPE                 |
Línea 45: ID                   p
Línea 45: CORCHETE_IZQ         [
Línea 45: SIMBOLO              :nombre
Línea 45: CORCHETE_DER         ]
Línea 45: PUNTO                .
Línea 45: ID                   downcase
Línea 45: IGUAL                ==
Línea 45: ID                   nombre
Línea 45: PUNTO                .
Línea 45: ID                   downcase
Línea 45: LLAVE_DER            }
Línea 46: PUTS                 puts
Línea 46: CADENA               Producto eliminado.
Línea 48: WHEN                 when
Línea 48: ENTERO               4
Línea 49: BREAK                break
Línea 51: ELSE                 else
Línea 52: PUTS                 puts
Línea 52: CADENA               Opción no válida.
Línea 53: END                  end
Línea 54: END                  end
Línea 55: END                  end
Línea 57: ID                   gestion_inventario
